,site_id,planned_kiosk_type,installation_status,ppt_id,legacy_id,borough,council_district,community_board,street_address,cross_street_1,cross_street_2,ixn_corner,postcode,zoning,latitude,longitude,installation_complete,activation_complete,neighborhood_tabulation_area_nta,building_identification_number_bin,boroughblocklot_bbl,census_tract_ct,location
1154,mn-04-138822,Link1.0,Live,138822,20038,Manhattan,3,104,314 11 AVENUE,WEST 30 STREET,WEST 29 STREET,SE,10001,C6-4,40.753067,-74.003811,2018-08-07,2019-01-25,Hudson Yards-Chelsea-Flatiron-Union Square,1088120.0,1007010062.0,1009900.0,"(40.753067, -74.003811)"
1155,mn-03-123794,Link1.0,Live,123794,mn-03-123794,Manhattan,2,103,134 1 AVENUE,ST MARKS PLACE,EAST 9 STREET,NE,10009,C1-5,40.72765,-73.985119,2017-04-08,2017-05-30,East Village,1005893.0,1004360060.0,1003200.0,"(40.72765, -73.985119)"
1156,bk-17-126527,Link1.0,Live,126527,bk-17-126527,Brooklyn,45,317,1339 FLATBUSH AVENUE,FOSTER STREET,BEDFORD STREET,NE,11226,C2-4,40.63856,-73.953603,2017-12-18,2018-05-11,Erasmus,3120360.0,3052110064.0,3079000.0,"(40.63856, -73.953603)"
1157,mn-10-136677,Link1.0,Live,136677,mn-10-136677,Manhattan,9,110,2079 FREDERICK DOUGLASS BOULEVARD,WEST 113 STREET,WEST 112 STREET,SW,10026,C1-4,40.80235,-73.95698,2016-10-08,2016-10-31,Central Harlem South,1075301.0,1018470021.0,1019702.0,"(40.80235, -73.95698)"
1158,mn-06-121535,Link1.0,Live,121535,mn-06-121535,Manhattan,4,106,685 3 AVENUE,EAST 43 STREET,EAST 44 STREET,NE,10017,C5-3,40.751497,-73.973765,2016-07-19,2016-07-21,Turtle Bay-East Midtown,1037555.0,1013170001.0,1008800.0,"(40.751497, -73.973765)"
1159,mn-09-100210,Link1.0,Live,100210,mn-09-100210,Manhattan,7,109,501 WEST 145 STREET,AMSTERDAM AVENUE,BROADWAY,NW,10031,C1-4,40.825446,-73.947868,2016-08-19,2017-02-01,Hamilton Heights,1061939.0,1020770029.0,1022900.0,"(40.825446, -73.947868)"
1160,bk-02-108350,Link1.0,Live,108350,bk-02-108350,Brooklyn,33,302,36 NEVINS STREET,LIVINGSTON STREET,SCHERMERHORN STREET,NW,11217,C6-4,40.687457,-73.98192,2017-09-17,2018-03-29,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000000.0,3001660040.0,3003700.0,"(40.687457, -73.98192)"
1161,bk-04-127489,Link1.0,Live,127489,14172,Brooklyn,37,304,569 WILSON AVENUE,ELDERT STREET,COVERT STREET,NE,11207,C1-3,40.691042,-73.908632,2022-12-05,2023-03-14,Bushwick South,3078846.0,3034110037.0,3041300.0,"(40.691042, -73.908632)"
1162,qu-02-145981,Link1.0,Live,145981,LINK-021680,Queens,26,402,43-01 48 AVENUE,43 STREET,44 STREET,NE,11377,C1-3,40.73968,-73.92207,2017-10-14,2018-03-15,Hunters Point-Sunnyside-West Maspeth,4002100.0,4001730001.0,4018502.0,"(40.73968, -73.92207)"
1163,qu-01-125131,Link1.0,Live,125131,qu-01-125131,Queens,22,401,31-02 30 AVENUE,31 STREET,32 STREET,SE,11102,C4-2A,40.766766,-73.921276,2017-05-06,2017-06-26,Astoria,4008486.0,4006150035.0,4006300.0,"(40.766766, -73.921276)"
